"ID","BaseShift","SlopeShift","Residuals","BaseCurve","CH4"
"standard_EV",224.868981652276,3.85666905488691,0.72573179618001,25.5120828064132,-0.101497345049131
"standard_PZ",760.036919861111,13.6375244065657,2.66974412878788,92.3845657449495,-0.318588396464646
"standard_UT2",757.98016125,13.96123625,2.533735,89.86743875,-0.23426375
"20-196_WOOD1-C-3",215.88925,-7.32785,0.0700500000000002,-4.26705,-0.61355
"20-196_NIWO1-A-3",99.66675,-15.8501,1.82905,3.55095,-6.3188
"20-196_NIWO1-A-5",387.2615,-30.1006,2.6193,-0.765299999999996,-8.7193
"20-196_NIWO1-A-1",337.28375,-26.82085,2.36705,0.915450000000007,-7.95505
"20-196_NIWO1-A-2",443.317,-26.44735,1.58105,-3.02105,-5.90405
"20-196_NIWO1-D-5",7.66575,-2.40435,0.17455,0.596450000000004,-1.1538
"20-196_CPER1-C-3",30.9165,-0.889849999999999,0.0472999999999999,-0.383799999999994,-0.3453
"20-196_WOOD1-B-3",425.843,-39.4571,4.2273,4.9387,-12.3633
"20-196_WOOD1-E-3",-3.26907499999998,-0.40065,-0.082525,-2.883175,-0.0497250000000001
"20-196_WOOD1-E-5",-0.140500000000003,-1.16735,-0.0509500000000003,-0.852549999999994,0.0461999999999998
"20-196_CPER1-B-4",0.784000000000006,0.236900000000002,0.0387999999999997,1.35445,-0.05905
"20-196_WOOD1-A-4",99.96675,-3.30285,0.0367999999999999,-1.48954999999999,-0.20005
"20-196_CPER1-D-3",42.2955,-19.2411,2.8223,7.6897,-8.9193
"20-196_CPER1-C-5",91.7975,-5.4441,0.0263,-2.5738,-0.672800000000001
"20-196_WOOD1-C-4",1.02175,-2.10485,-0.0207000000000002,-1.15904999999999,-0.29055
"20-196_NIWO1-D-3",225.26,-13.09335,0.2793,-4.84654999999999,-1.9318
"20-196_CPER1-B-2",8.03675,-1.63985,-0.0367000000000002,-1.3403,-0.1208
"20-196_CPER1-D-4",1.10525,-1.2516,0.0265499999999999,-0.115049999999997,-0.28605
"20-196_WOOD1-A-5",-0.201999999999998,-1.01585,-0.03145,-0.754049999999999,-0.0318000000000005
"20-196_NIWO1-D-4",0.0872499999999974,-1.3601,-0.11245,-2.2848,-0.09605
"20-196_CPER1-A-4",0.924750000000003,-1.2131,-0.0349500000000003,-1.20829999999999,-0.08155
"20-196_WOOD1-C-1",387.55425,-15.11685,0.03505,-7.9883,-0.70505
"20-196_NIWO1-B-1",2.398,-0.542349999999999,-0.01145,-0.0163000000000011,-0.0488
"20-196_NIWO1-B-2",2.25425,-1.00335,-0.0144500000000001,-1.13204999999999,-0.3353
"20-196_WOOD1-E-2",0.309250000000006,-0.18535,0.00554999999999994,-0.219049999999996,-0.10455
"20-196_CPER1-E-1",3.69175,-0.209099999999999,0.0122999999999998,0.206450000000004,-0.0853000000000002
"20-196_CPER1-A-2",383.75125,-13.7561,0.00979999999999981,-7.73155,-0.4408
"20-196_CPER1-D-5",2.88249999999999,-1.57935,0.0157999999999996,-1.1273,-0.3673
"20-196_NIWO1-D-1",194.172,-12.0466,0.49155,-2.35455,-2.6143
"20-196_NIWO1-B-5",2.18575,-0.519349999999999,-0.0452000000000004,-0.758299999999998,-0.13155
"20-196_CPER1-B-5",4.6675,-0.263599999999997,0.00579999999999981,-0.270049999999998,-0.0738000000000003
"20-196_NIWO1-D-2",17.2585,-11.3871,1.2868,3.70920000000001,-4.7458
"20-196_UNDE1-A-5",444.4874,-17.2857,0.0101,-2.2958,-0.7241
"20-196_UNDE1-C-4",5.48540000000003,-1.49245,0.00560000000000027,1.1717,-0.4001
"20-196_UNDE1-E-4",86.2824000000001,-5.2167,0.00435000000000008,2.1827,-0.8266
