"Species","Count","d18O.off.m","d18O.off.sd","d2H.off.m","d2H.off.sd","d18O.off.high","d2H.off.high","Vernacular"
"Geum rossii",15,8.64449823202345,5.3511300906982,5.44277321968346,6.1692001028702,1,0.333333333333333,"Ross's avens"
"Pinus contorta",19,1.46020776381351,2.29724909854748,-0.0588753820364241,1.94968353525836,0.789473684210526,0,"Lodgepole Pine"
"Diosypros virginiana",15,1.53141890094342,0.968278219986651,-0.0396273229854965,1.34248921003434,0.733333333333333,0,"Eastern Persimmon"
"Medicago sativa",29,11.7866618147481,9.91589532389779,16.6083764841429,17.9706579213541,0.724137931034483,0.689655172413793,"Alfalfa"
"Pinus palustris",35,1.28690974508777,1.34491052529677,-0.0692337205174886,0.47058995612156,0.714285714285714,0,"Longleaf Pine"
"Quercus falcata",20,1.29142808801929,1.29398569016736,0.111104493291302,1.29405975619628,0.7,0,"Spanish oak"
"Artemisia frigida",29,5.00433949301773,7.4998319316896,1.46975849509916,9.34213072843024,0.689655172413793,0.206896551724138,"fringed-sage"
"Pinus sabiniana",6,1.22079546060247,1.88434129583373,0.413346770323258,1.94643912679853,0.666666666666667,0,"Gray Pine"
"Liquidambar styraciflua",20,1.69818721749954,1.41531741567316,1.19373213284256,2.02223220357584,0.65,0,"Alligator-wood"
"Pinus strobus",30,1.9322390277246,3.86922781550317,0.12056891562554,4.32626545621781,0.633333333333333,0.0666666666666667,"Weymouth Pine"
"Betula alleghaniensis",30,1.37451526293693,1.52478734078237,0.808767127770452,3.03079010201456,0.6,0.0333333333333333,"Yellow Birch"
"Juglans nigra",30,1.3402801971138,1.69733369073922,0.844945702620352,5.42875366506169,0.6,0.133333333333333,"Black Walnut"
"Artemisia absinthium",28,5.67116232716497,8.61639153081633,4.33553778410694,15.44047765024,0.571428571428571,0.321428571428571,"Wormwood"
"Pseudotsuga menziesii",34,0.988386413791115,1.61590364237639,-0.101554277002637,1.3766137361228,0.5,0,"Douglas Fir"
"Artemisia tridentata",19,0.535969153758994,2.86663028801888,-0.156217516127296,3.79836986798223,0.473684210526316,0.105263157894737,""
"Quercus laevis",15,0.999401159334982,0.568724897603821,-0.208224674181074,1.12852177227164,0.466666666666667,0,"Catesby's oak"
"Picea mariana",33,0.92096649075102,0.499004945743001,-0.29472755811472,0.0957040011216081,0.424242424242424,0,"Black Spruce"
"Quercus wislizeni",10,0.786716709185701,0.776532245338177,2.07670068813771,2.34190220162679,0.4,0,"interior live oak"
"Gaultheria shallon",15,0.917516004921292,0.592390650367684,0.153351684037839,1.06893034541779,0.4,0,"Shallon"
"Liriodendron tulipifera",30,0.850550505511001,1.4773717140861,-0.13836095560671,2.8023414719956,0.4,0.0666666666666667,"Tulip poplar"
"Quercus douglasii",8,0.777749569915874,2.24273464252955,2.51705678868191,4.44276437732094,0.375,0.125,"blue oak"
"Quercus rubra",60,0.650575528313258,1.15061854372813,0.748620928869588,3.43009198519568,0.366666666666667,0.0666666666666667,"Red Oak"
"Quercus stellata",15,0.764447966685069,0.449809955184942,0.190142709688451,0.938584090106234,0.333333333333333,0,"Post Oak"
"Minuartia obtusiloba",15,0.396851388540143,2.62188833351709,-0.285034491648284,0.965124939609289,0.333333333333333,0,"alpine stitchwort"
"Vaccinium arboreum",20,0.798129468948736,0.458872073021258,-0.0250154705482429,0.544584096030172,0.3,0,"farkleberry"
