"Sample_ID","Site_ID","Site_Name","Latitude","Longitude","Elevation","Type","Start_Date","Start_Time_Zone","Collection_Date","Collection_Time_Zone","Phase","Depth_meters","Sample_Comments","d2H","d18O","D17O","d2H_Analytical_SD","d18O_Analytical_SD","D17O_Analytical_SD","WI_Analysis_Source","Project_ID","Bout","Dex","Species","BaseShift","SlopeShift","Residuals","BaseCurve","CH4","Instrument","d18O.off","d2H.off","d18O.oc","d2H.oc"
"20-196_CPER1-D-1","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Stem","",NA,"2020-08-14 00:00:00",6,NA,NA,"Artemisia frigida",-68.6914567694,6.1919474746,NA,0.063621791101224,0.0155998132599974,NA,"SPATIAL",384,"CPER1",-118.2270365662,"Artemisia frigida",23.4548,-14.5913,2.0325,6.6592,-6.4733,"HIDS2046",13.8545959467469,5.23105499102373,-7.66264847214694,-73.9225117604237
"20-196_CPER1-D-2","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Stem","",NA,"2020-08-14 00:00:00",6,NA,NA,"Artemisia frigida",-63.9586144459,5.1636388932,NA,0.579173964684674,0.0882727355877713,NA,"SPATIAL",384,"CPER1",-105.2677255915,"Artemisia frigida",550.086783333333,-36.67465,0.8761,13.63325,-6.1005,"HIDS2052",9.69600721165018,12.8305097813982,-4.53236831845018,-76.7891242272982
"20-196_CPER1-D-3","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Stem","",NA,"2020-08-14 00:00:00",6,NA,NA,"Artemisia frigida",-49.352411063,15.4176554221,NA,0.317511462964149,0.0406772019932359,NA,"SPATIAL",384,"CPER1",-172.6936544398,"Artemisia frigida",42.2955,-19.2411,2.8223,7.6897,-8.9193,"HIDS2046",19.0402380917694,9.76694291308286,-3.62258266966944,-59.1193539760829
"20-196_CPER1-D-4","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Stem","",NA,"2020-08-14 00:00:00",6,NA,NA,"Artemisia frigida",-67.0024336,-2.0344950343,NA,0.0232322580342384,0.0229055350224645,NA,"SPATIAL",384,"CPER1",-50.7264733256,"Artemisia frigida",1.10525,-1.2516,0.0265499999999999,-0.115049999999997,-0.28605,"HIDS2046",0.683436933487934,-0.300179406261766,-2.71793196778793,-66.7022541937382
"20-196_CPER1-D-5","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Stem","",NA,"2020-08-14 00:00:00",6,NA,NA,"Artemisia frigida",-55.0497940197,1.893171154,NA,0.134019527031463,0.0320707691540136,NA,"SPATIAL",384,"CPER1",-70.1951632517,"Artemisia frigida",2.88249999999999,-1.57935,0.0157999999999996,-1.1273,-0.3673,"HIDS2046",0.758501743354672,-0.287125170643323,1.13466941064533,-54.7626688490567
"20-196_CPER1-E-1","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Stem","",NA,"2020-08-14 00:00:00",6,NA,NA,"Elymus elymoides",-67.3831826675,0.2050278016,NA,0.0566438354672221,0.0243816453142216,NA,"SPATIAL",384,"CPER1",-69.0234050803,"Elymus elymoides",3.69175,-0.209099999999999,0.0122999999999998,0.206450000000004,-0.0853000000000002,"HIDS2046",0.383315119894745,-0.320176434009759,-0.178287318294745,-67.0630062334902
"20-196_CPER1-E-3","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Stem","",NA,"2020-08-14 00:00:00",6,NA,NA,"Elymus elymoides",-68.2282228326,-0.7226436845,NA,0.246319609347787,0.0380197461832025,NA,"SPATIAL",384,"CPER1",-62.4470733566,"Elymus elymoides",4.91225,-1.84185,-0.0621,-2.02255,0.0570000000000004,"HIDS2046",0.00500765823363891,-0.327396258881024,-0.727651342733639,-67.900826573719
"20-196_NIWO1-A-1","NIWO_tower","Niwot Ridge NEON",40.05425,-105.58237,3490,"Stem","",NA,"2020-08-17 00:00:00",6,NA,NA,"Geum rossii",-105.5117137473,1.2581075645,NA,0.181330538400708,0.0262944696156479,NA,"SPATIAL",384,"NIWO1",-115.5765742633,"Geum rossii",337.28375,-26.82085,2.36705,0.915450000000007,-7.95505,"HIDS2046",16.2309146062447,12.2207833055681,-14.9728070417447,-117.732497052868
"20-196_NIWO1-A-2","NIWO_tower","Niwot Ridge NEON",40.05425,-105.58237,3490,"Stem","",NA,"2020-08-17 00:00:00",6,NA,NA,"Geum rossii",-119.8438421886,-4.2472553223,NA,0.250391166657242,0.0780950861984207,NA,"SPATIAL",384,"NIWO1",-85.8657996102,"Geum rossii",443.317,-26.44735,1.58105,-3.02105,-5.90405,"HIDS2046",11.4043013533114,8.85753097130678,-15.6515566756114,-128.701373159907
"20-196_NIWO1-A-3","NIWO_tower","Niwot Ridge NEON",40.05425,-105.58237,3490,"Stem","",NA,"2020-08-17 00:00:00",6,NA,NA,"Geum rossii",-71.1708599372,5.2637413215,NA,0.540432160599055,0.197214727302166,NA,"SPATIAL",384,"NIWO1",-113.2807905092,"Geum rossii",99.66675,-15.8501,1.82905,3.55095,-6.3188,"HIDS2046",13.0292042357293,5.56610328094994,-7.7654629142293,-76.73696321815
